person_id,night_index,age,chronotype_code,bedtime_hour,screen_minutes_before_bed,caffeine_mg,exercise_minutes,stress_level,ambient_noise_db,room_temp_c,resting_hr,steps,snooze_count,alarm_response_ms,sleep_consistency,sleep_debt_hours,sleep_duration,wakeup_consistency,wake_success
0,14,24,2,24.59,38,43,20,18.8,35.0,25.5,60,8720,1,8304,61.8,0.59,5.78,68.3,0
0,15,24,2,24.49,29,47,12,16.8,34.5,24.9,64,8483,1,8670,62.0,0.62,5.94,68.3,0
0,16,24,2,23.13,0,48,0,11.0,34.3,24.7,61,3604,0,8616,61.9,0.57,7.46,67.6,0
0,17,24,2,24.58,14,45,0,0.0,31.3,23.7,61,3737,0,10354,63.9,0.62,5.84,68.0,1
0,18,24,2,24.58,75,45,0,0.0,38.0,24.6,65,3599,0,8544,64.0,0.56,6.85,68.5,1
0,20,24,2,23.63,8,30,14,5.5,29.8,25.9,62,4563,1,8840,67.0,0.69,6.68,56.5,0
0,21,24,2,23.54,3,79,0,0.0,36.4,25.2,61,5045,1,8930,69.6,0.74,6.93,57.3,1
0,22,24,2,22.18,45,33,0,9.4,23.4,25.5,62,7968,1,8773,69.0,0.68,7.55,57.9,1
0,23,24,2,23.69,34,23,15,16.5,36.2,24.1,60,5046,1,8675,63.7,0.63,6.8,57.9,1
0,24,24,2,22.95,40,62,0,10.1,27.0,24.8,63,5696,1,8751,64.0,0.64,7.28,56.5,0
0,27,24,2,24.11,8,22,0,7.6,33.0,25.4,59,6244,1,8934,58.4,0.73,6.31,75.3,1
0,28,24,2,23.49,21,47,14,3.6,36.8,25.3,61,4095,1,8577,58.9,0.8,6.92,75.3,0
0,29,24,2,23.06,24,60,0,8.9,27.1,25.0,62,6716,1,8744,58.5,0.72,7.42,75.0,0
0,30,24,2,23.4,40,65,0,10.4,32.5,24.6,60,4069,1,8101,57.6,0.61,7.04,76.0,1
0,31,24,2,24.97,26,63,0,14.8,31.9,24.2,60,4187,1,6225,57.7,0.64,5.5,77.3,0
0,34,24,2,24.13,0,0,76,1.7,29.5,24.9,56,5840,1,6278,58.6,0.53,6.36,52.0,0
0,35,24,2,24.45,0,28,14,4.1,32.1,24.4,58,2812,1,6483,58.9,0.55,6.01,52.3,0
0,36,24,2,24.83,33,36,0,12.7,39.4,24.7,62,4462,1,6421,59.0,0.62,5.51,52.3,0
0,37,24,2,24.32,16,85,59,13.7,36.3,24.7,66,5388,1,6926,63.8,0.76,6.17,51.8,0
0,38,24,2,24.47,19,79,0,17.5,30.5,24.9,65,5822,1,7658,64.1,0.81,5.94,51.8,0
1,14,36,1,23.24,45,58,113,75.4,33.2,18.8,60,13298,2,11860,68.8,1.03,6.59,43.3,0
1,15,36,1,23.56,23,89,0,74.3,39.7,20.0,68,5388,2,12210,68.8,0.97,5.75,42.1,0
1,16,36,1,22.74,49,136,0,72.9,35.0,20.3,65,8573,2,13577,69.6,1.03,6.77,41.6,0
1,17,36,1,24.12,56,126,0,96.7,39.0,19.6,69,8219,2,12995,69.2,1.0,5.31,41.6,0
1,20,36,1,22.45,27,72,90,75.1,35.8,19.6,69,7928,2,13871,62.4,1.07,7.21,64.8,1
1,21,36,1,22.25,32,45,0,64.7,42.3,19.0,64,8305,2,13635,61.6,1.02,7.25,66.2,1
1,22,36,1,23.26,40,67,58,75.8,38.7,19.3,67,7743,2,12844,60.7,0.97,6.4,68.3,1
1,23,36,1,22.51,22,51,120,59.4,40.6,19.5,66,9534,2,11639,61.1,1.0,7.05,67.6,0
1,24,36,1,23.73,49,66,73,61.8,34.7,19.8,67,6435,2,11108,60.4,0.95,5.91,69.3,0
1,27,36,1,23.4,61,68,74,76.3,42.5,18.7,64,9724,2,11939,63.2,1.01,6.23,53.1,0
1,28,36,1,22.76,37,63,0,79.5,36.2,20.0,64,6231,2,13102,63.5,1.05,6.85,51.4,0
1,29,36,1,22.98,19,78,63,75.2,37.1,19.6,68,7375,2,13226,63.0,1.03,6.85,48.3,0
1,30,36,1,23.5,22,38,61,73.4,35.5,21.2,64,13063,2,12800,62.9,0.96,6.24,49.5,0
1,31,36,1,23.22,53,91,50,67.3,36.7,19.4,68,5410,2,13733,63.7,0.99,6.39,49.0,0
1,34,36,1,22.29,51,62,120,71.2,41.3,19.7,63,8975,2,13839,65.2,0.9,7.24,38.8,1
1,35,36,1,23.37,50,69,0,70.8,36.2,19.5,66,6075,2,13521,64.6,0.9,6.25,40.7,1
1,36,36,1,23.31,45,69,0,86.1,38.7,19.0,69,5550,2,14257,66.3,0.97,6.24,42.5,0
1,37,36,1,23.55,38,104,0,71.6,38.2,20.5,66,7238,2,14353,66.3,0.98,6.02,40.4,0
1,38,36,1,23.43,41,105,0,72.5,42.8,18.8,67,3678,2,15164,67.6,1.06,5.91,40.4,0
2,14,33,1,22.84,4,50,0,41.7,28.4,23.8,57,6571,0,6816,79.4,0.5,7.4,70.0,1
2,15,33,1,23.02,6,85,0,54.0,36.7,23.7,62,6836,0,7078,80.1,0.49,7.49,70.0,1
2,16,33,1,23.01,25,96,43,37.1,33.4,25.4,60,6442,1,7096,80.3,0.48,7.0,70.3,1
2,17,33,1,22.74,15,64,56,34.1,37.4,23.8,63,10072,1,7209,80.0,0.51,7.57,69.5,1
2,19,33,1,23.19,22,28,0,24.2,34.2,24.4,60,6205,1,7175,76.5,0.51,7.84,77.4,1
2,20,33,1,22.26,3,58,0,27.9,33.7,25.8,59,6726,1,7371,76.2,0.49,7.6,82.3,1
2,21,33,1,22.51,22,70,70,40.3,30.5,24.6,60,9500,1,7598,74.4,0.43,7.63,82.3,1
2,22,33,1,23.49,60,95,44,56.4,29.5,23.9,62,8383,0,7865,74.2,0.42,6.66,83.1,0
2,23,33,1,22.84,26,105,0,43.0,32.0,25.6,62,6100,1,7000,74.3,0.44,7.1,83.9,0
2,24,33,1,22.85,18,85,108,45.0,34.6,25.7,66,9839,1,8517,73.9,0.44,7.46,83.9,0
2,27,33,1,22.72,29,78,0,44.2,27.3,24.3,61,6791,1,8180,78.1,0.46,7.4,70.8,0
2,28,33,1,22.93,26,82,91,37.4,32.7,24.8,61,10427,1,8165,77.7,0.5,7.39,70.8,1
2,29,33,1,22.75,12,78,0,45.0,37.8,24.9,65,8494,1,7989,77.8,0.5,7.21,71.3,1
2,30,33,1,23.03,36,139,0,44.9,36.6,24.6,60,6895,1,8035,77.3,0.52,7.12,71.3,1
2,31,33,1,22.8,16,123,99,33.9,33.8,23.7,63,10808,1,8262,77.4,0.51,7.49,71.3,1
2,32,33,1,23.39,41,32,28,37.4,35.0,24.5,62,6271,1,7775,77.5,0.52,7.9,71.3,1
2,34,33,1,22.45,15,39,16,41.3,39.9,24.7,57,7189,1,8083,79.9,0.48,6.71,73.4,0
2,35,33,1,23.29,3,96,0,35.6,41.5,24.6,61,10804,1,7812,78.2,0.54,6.85,73.4,1
2,36,33,1,23.09,16,116,0,41.8,34.7,24.2,63,7637,1,7584,78.8,0.6,7.14,73.3,1
2,37,33,1,23.24,32,84,17,51.1,43.4,24.4,68,7179,1,7538,78.8,0.56,6.63,72.8,0
2,38,33,1,22.53,8,133,60,32.4,31.6,25.6,66,12197,1,6531,79.1,0.6,7.6,72.8,1
3,14,25,2,23.47,85,38,0,22.2,43.5,19.9,53,4884,1,9605,73.2,0.61,7.38,81.9,1
3,15,25,2,24.12,82,79,69,16.7,44.1,19.1,50,11301,1,10368,72.9,0.62,6.88,82.2,1
3,16,25,2,23.5,93,34,87,24.6,42.5,19.0,52,6873,1,10213,72.9,0.64,7.35,81.6,0
3,17,25,2,22.86,94,55,78,19.3,42.3,17.6,51,12575,1,8919,72.1,0.6,7.98,81.7,1
3,20,25,2,23.76,40,15,79,4.8,42.9,18.6,50,13936,1,8544,72.1,0.57,7.43,45.3,1
3,21,25,2,24.89,76,52,60,12.7,43.3,19.8,50,9964,1,9005,72.2,0.54,6.14,45.3,1
3,22,25,2,25.4,62,94,0,25.7,49.4,18.5,52,13264,1,9408,72.0,0.51,5.32,44.8,0
3,23,25,2,24.19,67,151,54,32.9,43.4,19.1,58,8917,1,10129,73.5,0.73,6.9,46.0,1
3,24,25,2,24.75,65,113,52,14.5,40.9,19.1,56,5826,1,10419,73.5,0.71,5.99,45.9,0
3,27,25,2,22.56,53,58,117,23.7,41.1,19.8,51,12517,1,10122,67.7,0.67,7.53,73.2,1
3,28,25,2,25.19,67,2,70,11.0,42.4,19.7,49,9123,1,9323,62.8,0.6,5.98,74.1,0
3,29,25,2,23.6,93,97,94,42.6,40.8,20.1,54,11501,1,8969,63.0,0.7,7.39,75.3,1
3,30,25,2,24.99,66,57,65,9.3,44.1,20.1,50,12633,1,9218,62.6,0.66,6.1,74.6,0
3,31,25,2,24.5,63,103,17,34.9,40.7,19.6,57,8921,1,9390,63.3,0.75,6.52,72.9,1
3,32,25,2,23.74,52,76,43,13.7,39.5,18.6,52,18000,1,11055,65.6,0.86,8.6,72.0,1
3,33,25,2,24.87,91,31,76,0.0,45.0,19.5,50,9245,1,11429,66.0,0.8,7.27,66.7,1
3,34,25,2,25.54,59,36,31,18.0,47.7,19.7,52,12006,1,11550,65.7,0.83,5.34,66.7,0
3,35,25,2,25.1,54,124,33,22.9,38.8,19.9,55,11366,1,11838,66.1,0.98,5.91,65.9,0
3,36,25,2,23.47,44,122,38,13.9,43.7,19.3,57,8097,1,13159,66.0,1.0,7.65,64.6,0
3,37,25,2,23.43,50,68,0,23.5,35.9,20.5,53,7837,1,12685,65.0,0.83,7.61,64.0,1
3,38,25,2,24.07,57,20,0,23.3,37.5,19.8,53,11404,1,10925,64.0,0.78,6.97,64.6,1
4,14,22,2,25.2,25,160,0,42.7,30.5,22.2,69,9312,2,10081,57.6,1.94,5.15,24.3,0
4,15,22,2,23.84,48,168,0,43.2,27.0,22.6,66,7441,2,11201,60.0,2.03,6.61,23.3,0
4,16,22,2,24.39,49,150,0,55.3,25.9,23.7,67,6764,2,11123,59.1,1.98,5.89,24.3,0
4,17,22,2,24.09,28,154,52,55.9,31.3,23.4,69,6725,2,12164,59.0,1.99,6.36,24.3,0
4,18,22,2,24.66,38,133,0,37.8,28.1,22.9,66,4193,2,11423,58.5,1.91,7.02,25.0,1
4,20,22,2,24.22,46,82,0,60.2,25.0,22.9,66,5654,2,12653,48.2,1.99,6.05,64.9,0
4,21,22,2,23.58,26,146,19,47.2,33.3,23.1,65,5077,2,12916,49.1,2.03,6.85,64.9,1
4,22,22,2,25.14,20,154,73,46.3,27.0,22.7,67,6638,1,12963,48.2,1.95,5.48,65.8,0
4,23,22,2,23.87,40,156,30,50.8,31.0,22.8,71,4874,2,13261,48.9,2.06,6.64,64.1,0
4,24,22,2,22.87,20,137,0,49.9,29.6,22.7,71,7169,2,13146,48.4,2.02,7.52,62.7,1
4,27,22,2,22.8,24,127,0,53.2,37.8,23.5,64,5385,2,12007,53.6,2.03,7.52,69.5,1
4,28,22,2,23.8,28,153,0,58.9,32.8,22.5,63,4562,2,11920,51.5,1.91,6.72,70.3,1
4,29,22,2,24.2,57,137,0,60.3,35.9,22.3,66,3130,1,11232,51.1,1.79,6.0,70.1,0
4,30,22,2,24.8,31,219,32,53.4,30.1,22.9,68,4453,1,11614,51.2,1.84,5.63,69.1,0
4,31,22,2,24.45,29,164,0,56.5,32.0,24.2,70,4489,1,10542,51.3,1.86,5.68,70.9,0
4,32,22,2,25.03,44,168,0,49.2,35.2,22.3,70,4317,2,10638,51.4,1.9,6.59,70.1,0
4,34,22,2,24.46,17,119,0,45.8,32.7,22.9,69,6725,2,11200,71.9,2.02,5.96,32.1,0
4,35,22,2,24.95,37,126,0,46.7,29.6,22.8,66,5267,2,11073,72.1,2.03,5.46,32.1,0
4,36,22,2,24.3,36,155,68,50.3,30.2,22.5,67,9279,2,12524,72.7,2.13,6.2,32.1,1
4,37,22,2,24.09,6,160,0,46.5,34.9,23.5,71,4443,1,12529,73.2,2.08,6.34,33.4,0
4,38,22,2,23.28,54,146,39,39.6,35.6,23.0,68,6079,1,12453,73.3,2.1,7.21,34.0,1
5,14,44,0,22.5,43,109,0,68.7,32.8,18.7,64,4811,1,7627,66.0,0.11,6.97,73.2,0
5,15,44,0,21.71,11,81,0,63.7,32.8,18.3,63,7607,1,7857,66.1,0.18,7.93,72.6,0
5,16,44,0,22.48,45,104,112,65.6,32.5,19.0,63,7179,1,7126,66.0,0.07,7.23,72.1,0
5,17,44,0,22.75,29,82,19,71.2,31.4,17.7,65,6908,1,6927,66.0,0.07,6.82,72.1,1
5,20,44,0,21.48,11,44,71,60.9,28.6,18.7,58,8420,1,6686,62.7,0.12,8.14,71.9,1
5,21,44,0,21.33,0,68,30,47.6,28.4,17.8,57,6470,1,6716,64.9,0.07,8.26,72.4,1
5,22,44,0,21.81,37,74,38,68.0,27.8,18.4,62,6425,1,7066,66.7,0.05,7.68,72.4,1
5,23,44,0,22.38,57,11,33,74.8,22.0,18.2,61,5963,1,6945,66.5,0.04,7.14,73.4,0
5,24,44,0,21.02,0,57,0,51.0,34.1,19.8,61,4985,0,6269,66.5,0.06,8.52,74.8,1
5,27,44,0,21.99,24,72,44,58.1,24.0,19.2,62,6195,0,6697,72.9,0.1,7.66,69.3,0
5,28,44,0,22.23,38,9,0,65.9,31.4,20.1,62,3493,0,6216,72.9,0.02,7.6,69.9,1
5,29,44,0,21.67,23,44,0,58.2,26.3,19.1,60,4487,0,5810,72.9,-0.03,7.83,70.9,0
5,30,44,0,22.29,19,61,6,68.1,25.1,19.2,59,7849,0,5283,72.7,-0.02,7.48,69.9,1
5,31,44,0,22.56,25,18,42,71.8,29.9,20.0,63,6580,1,5326,72.8,-0.04,7.16,69.0,1
5,33,44,0,22.53,18,28,48,43.1,27.1,19.6,60,9238,0,5164,69.1,-0.05,8.1,81.9,1
5,34,44,0,22.63,43,36,0,74.7,29.8,19.1,62,4964,0,5259,72.8,-0.04,6.85,79.4,0
5,35,44,0,22.62,46,102,45,75.4,32.0,19.7,64,8101,1,5817,73.7,0.05,7.08,78.2,0
5,36,44,0,23.68,50,18,113,76.2,26.2,18.7,66,7483,1,5636,75.1,0.14,6.02,78.2,1
5,37,44,0,22.63,31,108,28,60.8,25.6,19.2,68,7642,1,6695,75.0,0.26,7.07,77.6,1
5,38,44,0,21.63,0,128,53,55.4,29.2,20.5,64,6593,1,8480,75.3,0.26,8.08,76.9,1
6,14,28,2,23.63,26,60,0,26.6,45.4,26.1,60,5103,1,9006,77.3,0.93,6.92,75.8,1
6,15,28,2,24.34,14,75,39,41.8,39.2,26.2,63,6081,1,9308,78.1,0.9,6.39,77.4,0
6,16,28,2,23.85,32,125,0,35.1,34.1,27.5,63,5973,0,8867,78.2,0.97,6.64,78.6,0
6,17,28,2,23.77,18,112,0,25.6,38.5,27.0,64,8624,1,9930,78.1,1.01,6.7,76.5,1
6,19,28,2,24.26,22,60,0,7.8,29.0,26.4,59,4906,1,9832,76.4,1.0,7.52,72.3,1
6,20,28,2,24.13,11,79,15,41.2,38.8,26.5,59,12304,1,10352,76.3,1.02,6.5,75.7,0
6,21,28,2,23.65,30,84,103,25.5,36.8,26.7,60,7414,1,10718,77.1,1.06,7.02,76.3,1
6,22,28,2,23.82,5,80,50,28.0,32.2,26.1,61,6633,1,11022,77.0,1.08,7.09,76.3,1
6,23,28,2,23.77,16,92,45,31.2,38.4,25.9,58,6300,1,9494,77.2,1.05,7.15,75.5,0
6,24,28,2,23.91,21,72,0,16.9,37.6,27.0,64,5463,1,9182,77.0,1.05,6.52,77.2,1
6,25,28,2,24.44,54,85,0,23.3,38.0,26.4,59,5990,1,8794,76.9,1.05,7.4,77.2,1
6,27,28,2,23.91,17,77,43,31.3,34.4,27.4,59,7427,1,9237,79.8,1.09,6.57,78.5,1
6,28,28,2,23.81,22,91,0,23.5,32.9,26.7,60,7768,1,9005,79.6,1.13,6.72,77.7,0
6,29,28,2,23.31,0,83,0,14.5,35.6,26.6,61,7701,1,9289,79.9,1.15,7.62,77.1,1
6,30,28,2,23.91,1,80,0,24.8,41.2,28.3,62,6197,1,10207,79.3,1.06,6.35,78.0,0
6,31,28,2,23.92,16,82,30,34.4,39.0,26.5,64,7097,1,9222,79.1,1.08,6.61,77.8,0
6,34,28,2,23.97,34,61,42,36.8,36.8,27.3,61,12126,1,8308,78.5,1.04,6.41,88.8,1
6,35,28,2,23.91,22,90,0,26.8,40.8,25.6,60,5138,1,7991,78.2,1.05,6.66,87.7,1
6,36,28,2,23.36,22,105,28,29.2,39.9,25.9,64,5957,1,7853,78.4,1.07,7.12,86.8,1
6,37,28,2,23.72,8,140,0,24.3,36.4,27.0,62,4284,1,8040,77.3,1.07,6.81,86.0,0
6,38,28,2,23.97,23,107,32,37.3,28.7,26.2,65,4987,1,8352,76.9,1.09,6.53,85.6,1
7,14,22,2,24.16,29,1,0,51.4,36.6,18.9,67,4441,1,8166,77.4,0.59,6.88,58.5,0
7,15,22,2,24.2,31,86,0,42.2,35.2,18.6,68,6789,1,8310,78.6,0.57,6.75,58.9,1
7,16,22,2,23.95,32,62,49,44.8,23.5,18.4,68,6153,1,8902,78.6,0.62,7.06,58.3,1
7,17,22,2,23.76,28,41,0,28.8,34.5,18.4,68,5392,1,8901,79.8,0.53,7.33,58.9,0
7,20,22,2,24.65,29,9,69,32.0,34.5,18.7,61,6482,1,8885,69.7,0.48,6.61,68.7,0
7,21,22,2,24.5,67,64,27,56.2,34.5,18.2,64,7231,1,9562,70.2,0.51,6.47,67.7,0
7,22,22,2,24.7,29,96,0,47.7,31.3,18.2,67,6006,1,9692,70.2,0.54,6.44,66.7,1
7,23,22,2,23.87,42,62,62,50.2,29.0,18.9,72,7637,1,9601,70.3,0.55,7.2,67.3,0
7,24,22,2,23.78,17,85,2,45.5,30.8,19.1,68,11582,1,8444,70.8,0.54,7.42,65.9,0
7,27,22,2,23.88,35,0,0,48.4,27.1,19.7,65,7539,1,8738,65.8,0.56,7.26,66.4,0
7,28,22,2,23.43,26,29,0,51.6,27.1,19.6,68,6153,1,8175,65.3,0.54,7.64,66.9,1
7,29,22,2,23.86,32,24,88,40.8,32.7,17.9,63,8567,1,7893,64.3,0.48,6.6,66.9,0
7,30,22,2,23.69,29,101,60,60.0,34.2,19.9,70,7548,1,7483,63.0,0.5,7.58,66.1,1
7,31,22,2,24.75,15,30,0,39.6,32.2,19.0,64,6592,1,7328,63.0,0.46,6.44,66.9,0
7,34,22,2,23.3,28,18,0,26.2,31.2,20.3,67,6282,1,8151,69.6,0.55,7.84,72.3,1
